candidate_id,rank,score,reasoning
CAND_0030031,31,0.8052,"AI Engineer (5.7 yrs); current title is a genuine engineering/ML role; named skills: NLP, Vector Search, RAG. Solid fit; secondary match."
CAND_0049896,32,0.8052,"Search Engineer (7.3 yrs); current title is a genuine engineering/ML role with verified Information Retrieval, Fine-tuning LLMs, PyTorch. Solid fit but limited by 90d notice."
CAND_0041568,33,0.7997,"Search Engineer with 5.2 yrs; current title is a genuine engineering/ML role; verified Weaviate, Semantic Search, Pinecone. Solid fit but limited by 90d notice."
CAND_0015528,34,0.7987,"7.4-yr Applied ML Engineer; current title is a genuine engineering/ML role; named skills: Information Retrieval, OpenSearch, FAISS. Solid fit; secondary match."
CAND_0057563,35,0.7987,"6.8-yr NLP Engineer; current title is a genuine engineering/ML role with verified Hugging Face Transformers, RAG, Machine Learning. Solid fit; secondary match."
CAND_0054123,36,0.7942,"Applied ML Engineer with 4.7 yrs; current title is a genuine engineering/ML role with verified Fine-tuning LLMs, LLMs, Weaviate. Solid fit; secondary match."
CAND_0079284,37,0.7937,"Machine Learning Engineer (4.9 yrs); current title is a genuine engineering/ML role; named skills: Recommendation Systems, Elasticsearch, Machine Learning. Solid fit; secondary match."
CAND_0096172,38,0.7898,"5.2-yr NLP Engineer; current title is a genuine engineering/ML role with verified RAG, Elasticsearch, OpenSearch. Solid fit; secondary match."
CAND_0055992,39,0.7886,"AI Engineer with 16.9 yrs; current title is a genuine engineering/ML role; verified Deep Learning, Fine-tuning LLMs, Information Retrieval. Solid fit; secondary match."
CAND_0010257,40,0.7847,"Senior Data Scientist (6.5 yrs); current title is a genuine engineering/ML role; named skills: Milvus, Recommendation Systems, Python. Solid fit but limited by 120d notice."
CAND_0033911,41,0.7824,"Data Scientist (6.9 yrs); current title is a genuine engineering/ML role; named skills: Learning to Rank, Hugging Face Transformers, MLOps. Solid fit but limited by 120d notice."
CAND_0044855,42,0.7794,"6.6-yr Senior Data Scientist; current title is a genuine engineering/ML role; verified Embeddings, Qdrant, Pinecone. Solid fit; secondary match."
CAND_0089552,43,0.7792,"6.0-yr Machine Learning Engineer; current title is a genuine engineering/ML role; named skills: Qdrant, Machine Learning, Fine-tuning LLMs. Solid fit but limited by 120d notice."
CAND_0001610,44,0.7778,"3.0-yr Machine Learning Engineer; current title is a genuine engineering/ML role; verified PyTorch, FAISS, Fine-tuning LLMs. Solid fit but limited by 90d notice."
CAND_0032179,45,0.7766,"6.4-yr Computer Vision Engineer; current title is a genuine engineering/ML role; verified Learning to Rank, Vector Search, PyTorch. Solid fit; secondary match."
CAND_0002120,46,0.7742,"ML Engineer with 6.5 yrs; current title is a genuine engineering/ML role; named skills: Pinecone, RAG, Information Retrieval. Solid fit; secondary match."
CAND_0049538,47,0.7734,"Applied ML Engineer (5.8 yrs); current title is a genuine engineering/ML role with verified Milvus, Elasticsearch, OpenSearch. Solid fit; secondary match."
CAND_0068811,48,0.7719,"Applied ML Engineer with 8.0 yrs; current title is a genuine engineering/ML role; named skills: Pinecone, OpenSearch, Qdrant. Solid fit; secondary match."
CAND_0065277,49,0.7708,"Computer Vision Engineer (6.3 yrs); current title is a genuine engineering/ML role with verified Sentence Transformers, Deep Learning, Fine-tuning LLMs. Solid fit; secondary match."
CAND_0018549,50,0.7694,"Recommendation Systems Engineer (6.8 yrs); career descriptions show rich build/ship evidence (14 signals); named skills: Elasticsearch, OpenSearch, Qdrant. Solid fit; secondary match."
CAND_0084819,51,0.7687,"Search Engineer with 4.5 yrs; current title is a genuine engineering/ML role with verified OpenSearch, Weaviate, Recommendation Systems. Solid fit but limited by 120d notice."
CAND_0040178,52,0.7679,"ML Engineer (5.0 yrs); current title is a genuine engineering/ML role; verified OpenSearch, Vector Search, Python. Solid fit; secondary match."
CAND_0024620,53,0.7586,"AI Engineer (5.9 yrs); current title is a genuine engineering/ML role; verified Python, Elasticsearch, Information Retrieval. Solid fit; secondary match."
CAND_0062247,54,0.7561,"AI Engineer (7.3 yrs); current title is a genuine engineering/ML role; named skills: Hugging Face Transformers, Vector Search, Deep Learning. Solid fit; secondary match."
CAND_0030468,55,0.7554,"Senior Applied Scientist with 5.4 yrs; current title is a genuine engineering/ML role; verified OpenSearch, Ranking Systems, Machine Learning. Solid fit; secondary match."
CAND_0072660,56,0.7552,"Machine Learning Engineer with 7.1 yrs; current title is a genuine engineering/ML role; named skills: Information Retrieval, PyTorch, FAISS. Solid fit; secondary match."
CAND_0016659,57,0.7518,"4.4-yr ML Engineer; current title is a genuine engineering/ML role; verified Weaviate, Information Retrieval, Pinecone. Solid fit; secondary match."
CAND_0015582,58,0.7499,"ML Engineer (4.4 yrs); current title is a genuine engineering/ML role; verified MLOps, Qdrant, Deep Learning. Solid fit but limited by 120d notice."
CAND_0030953,59,0.7472,"Search Engineer with 7.8 yrs; current title is a genuine engineering/ML role with verified RAG, Qdrant, Learning to Rank. Solid fit; secondary match."
CAND_0092255,60,0.7406,"5.2-yr ML Engineer; current title is a genuine engineering/ML role; named skills: MLOps, Machine Learning, RAG. Solid fit but limited by frequent job changes."
CAND_0093912,61,0.7381,"5.3-yr Senior Data Scientist; current title is a genuine engineering/ML role with verified Milvus, Elasticsearch, Vector Search. Moderate fit; secondary match."
CAND_0051630,62,0.7380,"Machine Learning Engineer with 6.0 yrs; current title is a genuine engineering/ML role; named skills: Machine Learning, Python, Sentence Transformers. Moderate fit but limited by 90d notice."
CAND_0046924,63,0.7371,"6.3-yr Computer Vision Engineer; current title is a genuine engineering/ML role; verified Semantic Search, FAISS, Vector Search. Moderate fit but limited by 120d notice."
CAND_0075574,64,0.7369,"Machine Learning Engineer with 5.7 yrs; current title is a genuine engineering/ML role with verified Weaviate, PyTorch, Qdrant. Moderate fit; secondary match."
CAND_0022812,65,0.7364,"4.5-yr Applied ML Engineer; current title is a genuine engineering/ML role; verified NLP, Pinecone, LLMs. Moderate fit but limited by frequent job changes."
CAND_0027691,66,0.7356,"6.5-yr NLP Engineer; current title is a genuine engineering/ML role; named skills: Recommendation Systems, Weaviate, Semantic Search. Moderate fit; secondary match."
CAND_0094056,67,0.7329,"NLP Engineer (5.9 yrs); current title is a genuine engineering/ML role with verified Embeddings, Pinecone, Hugging Face Transformers. Moderate fit but limited by 120d notice."
CAND_0041669,68,0.7325,"Recommendation Systems Engineer (8.0 yrs); career descriptions show rich build/ship evidence (14 signals); named skills: Milvus, Semantic Search, Information Retrieval. Moderate fit; secondary match."
CAND_0064331,69,0.7321,"4.2-yr Senior Software Engineer (ML); current title is a genuine engineering/ML role with verified OpenSearch, Learning to Rank, LLMs. Moderate fit; secondary match."
CAND_0048469,70,0.7307,"Computer Vision Engineer with 4.7 yrs; current title is a genuine engineering/ML role; verified Qdrant, Embeddings, Milvus. Moderate fit but limited by 120d notice."
CAND_0025640,71,0.7304,"AI Research Engineer (5.6 yrs); current title is a genuine engineering/ML role; verified Elasticsearch, Recommendation Systems, FAISS. Moderate fit; secondary match."
CAND_0076831,72,0.7290,"4.0-yr Search Engineer; current title is a genuine engineering/ML role; named skills: Milvus, NLP, PyTorch. Moderate fit but limited by 90d notice."
CAND_0076904,73,0.7268,"4.2-yr Senior Data Scientist; current title is a genuine engineering/ML role; named skills: Machine Learning, Hugging Face Transformers, OpenSearch. Moderate fit but limited by 90d notice."
CAND_0010685,74,0.7235,"6.7-yr NLP Engineer; current title is a genuine engineering/ML role; verified Elasticsearch, RAG, Information Retrieval. Moderate fit; secondary match."
CAND_0060054,75,0.7230,"AI Engineer with 6.4 yrs; current title is a genuine engineering/ML role; named skills: Recommendation Systems, Semantic Search, Elasticsearch. Moderate fit; secondary match."
CAND_0012837,76,0.7229,"6.4-yr Junior ML Engineer; current title is a genuine engineering/ML role; named skills: MLOps, Weaviate, Vector Search. Moderate fit; included as a lower-tier filler."
CAND_0043228,77,0.7221,"Applied ML Engineer (6.8 yrs); current title is a genuine engineering/ML role; verified Sentence Transformers, Hugging Face Transformers, OpenSearch. Moderate fit; included as a lower-tier filler."
CAND_0051292,78,0.7218,"Applied ML Engineer with 5.2 yrs; current title is a genuine engineering/ML role; verified RAG, Fine-tuning LLMs, NLP. Moderate fit; included as a lower-tier filler."
CAND_0043860,79,0.7206,"Junior ML Engineer (6.1 yrs); current title is a genuine engineering/ML role; named skills: Semantic Search, Information Retrieval, Deep Learning. Moderate fit; included as a lower-tier filler."
CAND_0016163,80,0.7202,"6.7-yr Applied ML Engineer; current title is a genuine engineering/ML role; verified Machine Learning, Pinecone, Embeddings. Moderate fit; 120d notice caps the ceiling."
CAND_0091899,81,0.7200,"Senior Software Engineer (ML) (5.8 yrs); current title is a genuine engineering/ML role; verified Information Retrieval, Machine Learning, Semantic Search. Partial fit; included as a lower-tier filler."
CAND_0013613,82,0.7179,"Machine Learning Engineer with 4.7 yrs; current title is a genuine engineering/ML role with verified Fine-tuning LLMs, Weaviate, Machine Learning. Partial fit; included as a lower-tier filler."
CAND_0076251,83,0.7175,"Search Engineer (7.6 yrs); current title is a genuine engineering/ML role; verified Hugging Face Transformers, LLMs, Semantic Search. Partial fit; included as a lower-tier filler."
CAND_0095619,84,0.7173,"NLP Engineer with 15.6 yrs; current title is a genuine engineering/ML role; named skills: Sentence Transformers, Pinecone, NLP. Partial fit; included as a lower-tier filler."
CAND_0037980,85,0.7171,"Senior Applied Scientist with 9.0 yrs; current title is a genuine engineering/ML role; named skills: Information Retrieval Systems, NLP, PyTorch. Partial fit; 90d notice caps the ceiling."
CAND_0066035,86,0.7170,"Data Scientist with 6.7 yrs; current title is a genuine engineering/ML role; named skills: Learning to Rank, Sentence Transformers, NLP. Partial fit; included as a lower-tier filler."
CAND_0074225,87,0.7159,"Machine Learning Engineer (4.3 yrs); current title is a genuine engineering/ML role; verified Python, Machine Learning, Milvus. Partial fit; 120d notice caps the ceiling."
CAND_0031593,88,0.7152,"Search Engineer with 7.8 yrs; current title is a genuine engineering/ML role; verified Elasticsearch, Embeddings, Hugging Face Transformers. Partial fit; 90d notice caps the ceiling."
CAND_0052335,89,0.7139,"6.4-yr Applied ML Engineer; current title is a genuine engineering/ML role; verified Learning to Rank, Sentence Transformers, PyTorch. Partial fit; included as a lower-tier filler."
CAND_0007460,90,0.7135,"4.7-yr AI Engineer; current title is a genuine engineering/ML role with verified Weaviate, Semantic Search, NLP. Partial fit; 120d notice caps the ceiling."
CAND_0005649,91,0.7122,"7.4-yr Senior Data Scientist; current title is a genuine engineering/ML role with verified Information Retrieval, Deep Learning, Fine-tuning LLMs. Marginal fit; 90d notice caps the ceiling."
CAND_0074735,92,0.7102,"Applied ML Engineer (5.5 yrs); current title is a genuine engineering/ML role; verified RAG, Information Retrieval, Semantic Search. Marginal fit; 90d notice caps the ceiling."
CAND_0078508,93,0.7089,"5.2-yr AI Research Engineer; current title is a genuine engineering/ML role; named skills: Sentence Transformers, Fine-tuning LLMs, Weaviate. Marginal fit; included as a lower-tier filler."
CAND_0006567,94,0.7062,"7.9-yr Senior AI Engineer; current title is a genuine engineering/ML role with verified Ranking Systems, Python, NLP. Marginal fit; included as a lower-tier filler."
CAND_0070398,95,0.7055,"7.2-yr Machine Learning Engineer; current title is a genuine engineering/ML role; verified FAISS, RAG, Information Retrieval. Marginal fit; 120d notice caps the ceiling."
CAND_0032515,96,0.7040,"Machine Learning Engineer with 5.1 yrs; current title is a genuine engineering/ML role with verified Elasticsearch, Semantic Search, Milvus. Marginal fit; included as a lower-tier filler."
CAND_0020350,97,0.7022,"AI Engineer (5.8 yrs); current title is a genuine engineering/ML role; verified LLMs, NLP, Fine-tuning LLMs. Marginal fit; included as a lower-tier filler."
CAND_0039383,98,0.7003,"Applied ML Engineer with 7.1 yrs; current title is a genuine engineering/ML role; named skills: FAISS, Elasticsearch, Vector Search. Marginal fit; 90d notice caps the ceiling."
CAND_0037944,99,0.7001,"Senior Data Scientist (4.9 yrs); current title is a genuine engineering/ML role with verified Machine Learning, Embeddings, Python. Marginal fit; included as a lower-tier filler."
CAND_0006418,100,0.7000,"5.7-yr Machine Learning Engineer; current title is a genuine engineering/ML role; named skills: OpenSearch, Qdrant, Embeddings. Marginal fit; included as a lower-tier filler."
